cf,dft,dftba,dftbb
0.70000,1.19070,1.70506,2.18660
0.75013,-0.64651,-0.72311,-0.55896
0.80025,-1.81613,-1.80519,-1.87085
0.84937,-2.53709,-2.48237,-2.51520
0.89950,-2.92970,-2.95159,-3.00631
0.94962,-3.13626,-3.14720,-3.18004
0.99975,-3.18961,-3.17866,-3.20055
1.04887,-3.15543,-3.15543,-3.15543
1.09900,-3.06651,-3.06651,-3.06651
1.14912,-2.92287,-2.94476,-2.93381
1.19925,-2.77923,-2.80111,-2.79017
1.24937,-2.62464,-2.65747,-2.63558
1.29950,-2.47005,-2.47005,-2.47005
1.34962,-2.30452,-2.30452,-2.28264
1.39975,-2.16088,-2.13899,-2.11711
1.44987,-2.00629,-1.97346,-1.92969
