x,dft,reax,dftba,dftbb
1.00102,0.37677,0.58648,0.50832,0.80762
0.92385,0.28160,0.26635,0.33117,0.37692
0.85755,0.25694,0.27601,0.27791,0.40564
0.79896,0.22655,0.26277,0.21893,0.27040
0.74960,0.18661,0.27812,0.18089,0.34866
0.70485,0.14094,0.14476,0.13713,0.23436
0.66625,0.08764,0.11433,0.11052,0.18677
0.63078,0.06102,-0.00571,0.08961,0.08008
0.59839,0.03629,-0.05903,0.08014,0.05536
0.57059,-0.00750,-0.08376,0.00775,-0.00369
0.54437,-0.02461,-0.05511,-0.02270,-0.01508
0.52127,-0.01884,-0.11226,0.02882,0.02882
0.49812,-0.04549,-0.17894,0.01170,-0.00546
0.47812,-0.02448,-0.19225,0.08418,0.05749
0.45957,-0.06448,-0.16552,0.07469,0.07659
0.44258,-0.09304,-0.18837,-0.04729,-0.05110
0.42720,-0.07014,-0.24553,0.09000,0.07094
0.41179,-0.07773,-0.19021,0.06715,-0.00720
0.39942,-0.10631,-0.24929,-0.02433,-0.04912
0.38554,-0.11391,-0.20541,-0.02621,-0.08722
0.37322,-0.11198,-0.26449,-0.02809,-0.07575
0.36241,-0.12911,-0.25494,-0.05095,-0.08527
0.35164,-0.11384,-0.25682,0.01007,-0.05665
0.34086,-0.10810,-0.23202,-0.01088,-0.06997
0.33310,-0.14812,-0.33495,-0.06043,-0.10427
0.32234,-0.13094,-0.22817,-0.04134,-0.10044
0.30696,-0.11376,-0.34824,0.01397,-0.04894
0.28535,-0.14041,-0.28720,0.03117,-0.04508
0.26687,-0.13084,-0.31767,0.02549,-0.05649
0.25606,-0.15179,-0.27761,-0.03359,-0.09269
0.24989,-0.15559,-0.26425,-0.04120,-0.10221
0.23446,-0.16890,-0.29091,-0.04499,-0.10027
0.23140,-0.15174,-0.27184,-0.03926,-0.09074
0.22215,-0.15744,-0.30996,-0.00302,-0.06784
0.20984,-0.14979,-0.29087,-0.00491,-0.07163
0.20063,-0.12309,-0.32135,0.06946,-0.04111
0.19291,-0.13451,-0.27177,0.01228,-0.07160
0.17907,-0.11351,-0.26603,0.05806,-0.04488
