x,A0,A
0.19392,0.11938,0.14708
0.20000,0.15753,0.18892
0.21215,0.11998,0.14398
0.22228,0.12244,0.15075
0.23038,0.08859,0.11259
0.23646,0.10212,0.12058
0.25063,0.09595,0.11257
0.25671,0.11503,0.11626
0.26481,0.13779,0.15194
0.28709,0.17593,0.17039
0.30734,0.11007,0.12668
0.33367,0.07743,0.08420
0.35190,0.12295,0.12295
0.36405,0.09279,0.07925
0.37620,0.09709,0.08355
0.38633,0.10200,0.08662
0.39848,0.09892,0.08230
0.41266,0.15921,0.14137
0.42684,0.18320,0.15797
0.44304,0.06750,0.04535
0.45924,0.17149,0.13456
0.49772,0.07730,0.05576
0.51797,0.07852,0.04775
0.54228,0.01942,0.00158
0.57063,0.02679,0.01632
0.59696,0.03969,0.04215
0.62734,0.02490,0.02859
0.66177,0.02795,0.02425
0.70025,0.01869,0.00576
0.74684,0.03219,0.00450
0.79342,0.04077,0.00877
0.85013,0.03642,0.01796
0.91494,0.02037,0.04806
0.98987,0.02831,0.13169
