x,B0,B
0.19386,0.07704,0.06370
0.20000,0.09630,0.08074
0.21023,0.09111,0.07630
0.22251,0.09852,0.08667
0.23069,0.07556,0.06148
0.23478,0.07778,0.06593
0.25115,0.06222,0.05481
0.28593,0.11185,0.09556
0.32481,0.04667,0.02963
0.33504,0.05778,0.04296
0.34322,0.05407,0.03926
0.35345,0.06667,0.05630
0.36777,0.05556,0.04222
0.38824,0.04000,0.02815
0.40051,0.06741,0.05556
0.41483,0.08074,0.07111
0.42916,0.16222,0.14000
0.43529,0.11407,0.10667
0.43939,0.09926,0.07704
0.44552,0.06074,0.04222
0.46189,0.16000,0.13778
0.48235,0.09185,0.07704
0.50077,0.05926,0.04000
0.52123,0.06593,0.04815
0.54578,0.02889,0.00889
0.57033,0.02519,0.00519
0.59898,0.03778,0.01852
0.63171,0.03926,0.01926
0.66854,0.13037,0.10074
0.70537,0.12444,0.09407
0.75038,0.19185,0.16148
0.79949,0.07185,0.04593
0.85678,0.18593,0.14667
0.92225,0.12074,0.09630
0.99795,0.46741,0.46741
