x,delta
0.096070,0.43934
0.19214,0.48131
0.28821,0.54689
0.38428,0.69377
0.48035,0.82492
0.57205,0.95082
0.66812,1.0269
0.76419,1.0925
0.86026,1.1449
0.95633,1.1738
1.0524,1.2105
1.1485,1.2131
1.2445,1.2026
1.3406,1.1895
1.4367,1.1318
1.5328,1.1108
1.6288,1.0820
1.7249,0.97705
1.8166,0.92721
1.9127,0.89311
2.0087,0.79869
2.1048,0.79607
2.2009,0.70951
2.2969,0.57311
2.3930,0.60197
2.4891,0.61246
2.5852,0.57574
2.6812,0.41311
2.7773,0.51016
2.8690,0.44197
2.9651,0.42361
3.0611,0.52328
3.1572,0.51279
3.2533,0.47082
3.3493,0.44721
3.4236,0.44197
3.4716,0.54689
