,r,gofr
0,0.03,8.059148329742081
1,0.09,8.028252448278012
2,0.15,7.997356566813943
3,0.21,7.966460685349874
4,0.27,7.935564803885805
5,0.32999999999999996,7.904668922421736
6,0.39,7.873773040957667
7,0.44999999999999996,7.842877159493598
8,0.51,7.8119812780295295
9,0.5700000000000001,7.78108539656546
10,0.6299999999999999,7.750189515101391
11,0.69,7.719293633637322
12,0.75,7.688397752173253
13,0.81,7.657501870709184
14,0.8699999999999999,7.626605989245115
15,0.9299999999999999,7.595710107781046
16,0.99,7.564814226316977
17,1.05,7.533918344852908
18,1.1099999999999999,7.503022463388839
19,1.17,7.47212658192477
20,1.23,7.4412307004607
21,1.29,7.410334818996631
22,1.3499999999999999,7.379438937532562
23,1.41,7.348543056068493
24,1.47,7.317647174604424
25,1.53,7.286751293140355
26,1.5899999999999999,7.255855411676286
27,1.65,7.224959530212217
28,1.71,7.194063648748148
29,1.77,7.1631677672840794
30,1.8299999999999998,7.1322718858200105
31,1.89,7.1013760043559415
32,1.95,7.070480122891872
33,2.01,7.039584241427804
34,2.0700000000000003,7.008784349187283
35,2.13,6.985255331660296
36,2.19,7.083644131143891
37,2.25,7.82027514062256
38,2.3099999999999996,9.565184081788168
39,2.37,10.373350857646697
40,2.4299999999999997,9.298618365817644
41,2.49,8.030100886248004
42,2.55,7.494676539785256
43,2.61,7.40995006227505
44,2.67,7.451317256187828
45,2.7299999999999995,7.451195639746797
46,2.79,7.3881886581923055
47,2.8499999999999996,7.241591840609763
48,2.91,7.049371101971262
49,2.9699999999999998,6.868295420957155
50,3.0300000000000002,6.717237079856652
51,3.09,6.617882112872846
52,3.15,6.559611752344654
53,3.21,6.543799912190814
54,3.2699999999999996,6.581946696228721
55,3.33,6.73394977630004
56,3.3899999999999997,7.006876215645889
57,3.45,7.213079564199629
58,3.51,7.342411519015689
59,3.57,7.553310272391493
60,3.63,7.817728970514801
61,3.6899999999999995,8.057531127200685
62,3.75,8.254244893023712
63,3.8099999999999996,8.343717077303504
64,3.87,8.384105566936007
65,3.9299999999999997,8.315088465842537
66,3.9899999999999998,8.13522853532057
67,4.05,7.962678171993991
68,4.109999999999999,7.88191981662898
69,4.17,7.944153321746683
70,4.23,8.214839294553595
71,4.29,8.616118011714384
72,4.35,9.1216661770758
73,4.41,9.66143409575599
74,4.47,10.100838630898856
75,4.529999999999999,10.434494812412709
76,4.59,10.611511130750955
77,4.65,10.677563131132775
78,4.71,10.653109924693457
79,4.77,10.459798723818965
80,4.83,10.130845199944526
81,4.89,9.73875890945126
82,4.949999999999999,9.370879552000412
83,5.01,9.053138621170058
84,5.07,8.85459180655032
85,5.13,8.741083784724443
86,5.1899999999999995,8.639197095383349
87,5.25,8.53750781226129
88,5.31,8.440074030241016
89,5.369999999999999,8.305099229281774
90,5.43,8.15239147699818
91,5.49,7.989294387587769
92,5.55,7.822820224099648
93,5.609999999999999,7.613893053906849
94,5.67,7.394558578197626
95,5.73,7.2023060237512055
96,5.789999999999999,7.033745934857123
97,5.85,6.826926277952355
98,5.91,6.658767345269618
99,5.97,6.578053988047915
